,Category,Sub-Category,Number_of_Products
0,Laptops,2 in 1 Devices,51
1,Laptops,Laptops,97
2,Desktops & All-in-Ones,All In One Desktops,22
3,Desktops & All-in-Ones,Desktops,37
4,Apple Mac Computers,iMac,11
5,Apple Mac Computers,Mac mini,4
6,Apple Mac Computers,MacBook,10
7,Apple Mac Computers,MacBook Air,7
8,Apple Mac Computers,MacBook Pro,11
9,Modern PCs,2 in 1 Devices,30
10,Modern PCs,Laptops,2
11,Modern PCs,Tablets,3
12,2-in-1 PCs,2 in 1 Devices,52
13,2-in-1 PCs,Laptops,2
14,2-in-1 PCs,Tablets,1
15,Gaming PCs & VRs,Desktops,20
16,Gaming PCs & VRs,Gaming Bundles,1
17,Gaming PCs & VRs,Graphics & Multimedia,1
18,Gaming PCs & VRs,Graphics Cards,1
19,Gaming PCs & VRs,Hardware,5
20,Gaming PCs & VRs,Laptops,29
21,Gaming PCs & VRs,LCD Monitors,2
22,Gaming PCs & VRs,LED Monitors,1
23,Gaming PCs & VRs,RAM,1
24,Gaming PCs & VRs,Virtual Reality,6
25,Gaming PCs & VRs,Windows Mixed Reality,3
26,Microsoft Surface,2 in 1 Devices,17
27,Microsoft Surface,All In One Desktops,3
28,Microsoft Surface,Laptops,9
29,Microsoft Surface,Tablets,3
30,Monitors,LCD Monitors,5
31,Monitors,LED Monitors,40
32,Monitors,QLED Monitors,2
33,Multimedia Accessories,Accessories,2
34,Multimedia Accessories,Adapters,3
35,Multimedia Accessories,APPcessories,2
36,Multimedia Accessories,Audio Mixer,1
37,Multimedia Accessories,Blu-ray Players,1
38,Multimedia Accessories,Capture Card,9
39,Multimedia Accessories,Cases,4
40,Multimedia Accessories,Chill Mats,4
41,Multimedia Accessories,Cleaning,1
42,Multimedia Accessories,Cleaning Spray,3
43,Multimedia Accessories,CPUs,2
44,Multimedia Accessories,Docking Stations,8
45,Multimedia Accessories,Docks,1
46,Multimedia Accessories,DVD Recorders,2
47,Multimedia Accessories,DVDs,6
48,Multimedia Accessories,External DVD Burner,1
49,Multimedia Accessories,External Sound Card,1
50,Multimedia Accessories,Gaming Headsets,2
51,Multimedia Accessories,Graphics & Multimedia,2
52,Multimedia Accessories,Graphics Cards,2
53,Multimedia Accessories,Hardware,6
54,Multimedia Accessories,Media Players,2
55,Multimedia Accessories,Microphones,16
56,Multimedia Accessories,Monitor Speakers,1
57,Multimedia Accessories,MP3 Players,1
58,Multimedia Accessories,Multimedia Presenters,2
59,Multimedia Accessories,PC Headsets,3
60,Multimedia Accessories,Projectors,5
61,Multimedia Accessories,Protection Cards,1
62,Multimedia Accessories,RAM,1
63,Multimedia Accessories,Remote Controls,4
64,Multimedia Accessories,Screen Cleaners,5
65,Multimedia Accessories,Screen Protectors,1
66,Multimedia Accessories,Set Top Box,1
67,Multimedia Accessories,Shock Mount,3
68,Multimedia Accessories,Stands,8
69,Multimedia Accessories,Stylus Pens,5
70,Multimedia Accessories,Tuners,1
71,Multimedia Accessories,USB Hubs,10
72,Multimedia Accessories,Video Converters,3
73,Multimedia Accessories,Virtual Reality,1
74,Multimedia Accessories,Voice Recorders,3
75,Multimedia Accessories,Webcams,5
76,"Keyboards, Mouse & Mats",Accessories Bundles,1
77,"Keyboards, Mouse & Mats",Corded Mice,15
78,"Keyboards, Mouse & Mats",Gaming Bundles,2
79,"Keyboards, Mouse & Mats",Keyboard & Mouse Combos,11
80,"Keyboards, Mouse & Mats",Keyboards,28
81,"Keyboards, Mouse & Mats",Mouse Mats,8
82,"Keyboards, Mouse & Mats",Multimedia Presenters,1
83,"Keyboards, Mouse & Mats",Stylus Pens,1
84,"Keyboards, Mouse & Mats",Wireless Mice,36
85,Software,Digital Download,47
86,Software,Educational Software,3
87,Software,Internet Security,11
88,Software,Mobile Security,1
89,Software,Multimedia Software,1
90,Software,Software,1
91,Software,Software Essentials,5
92,Laptop Bags & Sleeves,Backpacks,125
93,Laptop Bags & Sleeves,Bags,31
94,Laptop Bags & Sleeves,Briefcases,29
95,Laptop Bags & Sleeves,Cases,57
96,Laptop Bags & Sleeves,Cross-Body Bags,6
97,Laptop Bags & Sleeves,Duffel Bags,1
98,Laptop Bags & Sleeves,Messenger Bags,2
99,Laptop Bags & Sleeves,Organiser,2
100,Laptop Bags & Sleeves,Shoulder Bags,10
101,Laptop Bags & Sleeves,Sleeves,71
102,Laptop Bags & Sleeves,Suitcases,6
103,Laptop Bags & Sleeves,Tote Bags,8
104,"Chargers, Cables & Adapters",Adapters,103
105,"Chargers, Cables & Adapters",Batteries,17
106,"Chargers, Cables & Adapters",Battery Charger,2
107,"Chargers, Cables & Adapters",Cable Management,1
108,"Chargers, Cables & Adapters",Cables,196
109,"Chargers, Cables & Adapters",Card Readers,1
110,"Chargers, Cables & Adapters",Chargers,38
111,"Chargers, Cables & Adapters",Chill Mats,2
112,"Chargers, Cables & Adapters",Docking Stations,20
113,"Chargers, Cables & Adapters",Docks,5
114,"Chargers, Cables & Adapters",Ethernet Adapters,1
115,"Chargers, Cables & Adapters",Extension Leads,3
116,"Chargers, Cables & Adapters",Filters & Splitters,2
117,"Chargers, Cables & Adapters",Hardware,4
118,"Chargers, Cables & Adapters",HDMI Cables,4
119,"Chargers, Cables & Adapters",Power,11
120,"Chargers, Cables & Adapters",Power Banks,7
121,"Chargers, Cables & Adapters",Power Leads,1
122,"Chargers, Cables & Adapters",Surge Protectors,4
123,"Chargers, Cables & Adapters",Travel Adapters,12
124,"Chargers, Cables & Adapters",Uninterrupted Power Supply,13
125,"Chargers, Cables & Adapters",USB Hubs,2
126,"Chargers, Cables & Adapters",Wireless Chargers,10
127,Computer Speakers,Monitor Speakers,2
128,Computer Speakers,Multimedia Speakers,15
129,Computer Speakers,Speaker Systems,13
130,Tablets,E-Book Readers,3
131,Tablets,Graphics & Multimedia,8
132,Tablets,Tablets,50
133,Cases & Keyboards,Accessories Bundles,1
134,Cases & Keyboards,Bags,1
135,Cases & Keyboards,Cases,141
136,Cases & Keyboards,Docking Stations,2
137,Cases & Keyboards,Keyboard Covers,12
138,Cases & Keyboards,Keyboards,1
139,Cases & Keyboards,Screen Protectors,22
140,Cases & Keyboards,Sleeves,5
141,Cases & Keyboards,Stands,1
142,Cases & Keyboards,Stylus Pens,4
143,Cables & Adapters,Adapters,3
144,Cables & Adapters,Aerial Cables,1
145,Cables & Adapters,Cables,11
146,Cables & Adapters,HDMI Cables,9
147,Cables & Adapters,HDMI Hubs,1
148,Cables & Adapters,Media Cleaner,2
149,Cables & Adapters,Power Leads,6
150,Cables & Adapters,Travel Adapters,3
151,iPads,iPad,84
152,Surface Accessories,Adapters,8
153,Surface Accessories,Cases,16
154,Surface Accessories,Chargers,1
155,Surface Accessories,Docking Stations,1
156,Surface Accessories,Ethernet Adapters,1
157,Surface Accessories,Graphics & Multimedia,1
158,Surface Accessories,Keyboard Covers,6
159,Surface Accessories,Keyboards,1
160,Surface Accessories,Power,1
161,Surface Accessories,Screen Protectors,3
162,Surface Accessories,Sleeves,1
163,Surface Accessories,Stylus Pens,3
164,Surface Accessories,Wireless Mice,6
165,Microsoft Surface Go,2 in 1 Devices,17
166,Microsoft Surface Go,All In One Desktops,3
167,Microsoft Surface Go,Laptops,9
168,Microsoft Surface Go,Tablets,3
169,Cables & Connectors,Adapters,1
170,Cables & Connectors,Cables,12
171,Cables & Connectors,Chargers,1
172,Cables & Connectors,Docks,1
173,Cables & Connectors,Filters & Splitters,2
174,Cables & Connectors,Power,1
175,Modems & Routers,Broadband Modems,2
176,Modems & Routers,Ethernet Switches,1
177,Modems & Routers,Wireless Extenders,2
178,Modems & Routers,Wireless Modem Routers,18
179,Modems & Routers,Wireless Routers,33
180,Mesh Wifi,Wireless Extenders,3
181,Mesh Wifi,Wireless Routers,14
182,Wifi Range Extenders,Wireless Extenders,22
183,Networking Adapters,Network Storage,1
184,Networking Adapters,Powerline Adapters,3
185,Networking Adapters,Powerline Kits,1
186,Networking Adapters,Wireless Adapters,9
187,Networking Adapters,Wireless Extenders,1
188,Networking Adapters,Wireless Routers,1
189,Ethernet Switches,Ethernet Switches,55
190,Ethernet Switches,Network Storage,1
191,Ethernet Switches,Powerline Adapters,2
192,Ethernet Switches,Wireless Routers,2
193,Business Solutions,Ethernet Switches,25
194,Business Solutions,Network Storage,5
195,Business Solutions,Networking,1
196,Business Solutions,Wireless Extenders,5
197,Business Solutions,Wireless Modem Routers,2
198,Business Solutions,Wireless Routers,3
199,Motherboards,Motherboards,20
200,Motherboards,Wireless Network Card,1
201,Processors,CPUs,19
202,Graphics Cards,Graphics Cards,27
203,Air & Water Cooling,Hardware,6
204,Computer Memory,RAM,7
205,Computer Cases,Mid-Tower Case,4
206,External Devices,Blu-ray Players,1
207,External Devices,Card Readers,1
208,External Devices,Docks,1
209,External Devices,DVD Recorders,2
210,External Devices,External DVD Burner,1
211,External Devices,Hardware,1
212,External Devices,Wireless Adapters,1
213,All Hard Drives & Storage,Cases,1
214,All Hard Drives & Storage,External Hard Drives,32
215,All Hard Drives & Storage,HDD,24
216,All Hard Drives & Storage,Internal Hard Drives,7
217,All Hard Drives & Storage,Memory Cards,28
218,All Hard Drives & Storage,Network Storage,2
219,All Hard Drives & Storage,SSD,11
220,All Hard Drives & Storage,SSD Storage,5
